id	zitou	en_gloss	akitani_ci_id	shibei	zhenqian	dikou	notes
44	頭	head	106	tʰəu³³	tʰeu⁴⁴	tʰeu²¹³	
62	面	face	107	miŋ⁴⁵	miŋ⁴⁵	miɛ⁵⁵	
2	鼻	nose	109	pʰi⁴⁵	pʰi⁴⁵	pʰi⁵⁵	
79	舌	tongue	114	lye⁴²	lye⁴²	yɛ⁴¹	
22	墓	grave	154	tueiŋ²¹	teuŋ²¹³	tœyŋ³³	wronɡ word
29	馬	horse	238	ma²¹	ma²¹³	ma³³	
47	貓	cat	242	kai⁵³	kai⁵²	kɛ²²	
37	蛇	snake	256	ʔye³³	ye⁴⁴	yɛ²¹³	
34	我	1sg	307	ɦuai⁴²	ŋua⁴²	ŋua⁴¹	
118	擇	choose	390	tɔ⁵³			
6	肥	fat	432		pui⁴⁴	pui²¹³	
20	烏	black	457				ci id is for ˈdarkˈ
129	鼎	iron pot	460	tiaŋ²¹	tiaŋ²¹³	tia³³	
95		roach	474	dzuai⁴²	tsua⁴²	tsua⁴¹	miɡht be unrelated
19	菇	mushroom	486	ɦu⁴²	hu⁴²	u⁴¹	
5	臍	navel	514	tsʰe³³	tse⁴⁴	tsʰɛ²¹³	
97	懶	lazy	591	dyiŋ³³	tyiŋ⁴²	tyɛ⁴¹	
