id	kwok_id	zi	gloss	quanzhou	zhangzhou	datian	jieyang	chaoyang	leizhou	PSM
131	7	橫		huĩ²	huã²	huã²	huẽ²	huẽ²	huɛ⁵	*huẽ²
104	27	竹		tiak⁷	tik⁷	toʔ⁷	tek⁷	tek⁷	tip⁷	*tɯk⁷
50	37	熊		him²	him²	heŋ²	him²	him²	hiɔŋ²	*him²
107	40	蜂		pʰaŋ¹	pʰaŋ¹	pʰaŋ¹	pʰaŋ¹	pʰaŋ¹	*pʰaŋ¹	
72	41	乞		kʰit⁷	kʰit⁷	kʰeʔ⁷	kʰek⁷	kʰik⁷	kʰiek⁷	*kʰit⁷
36	45	帶		tua⁵	tua⁵	tua⁵	tua⁵	tua⁵	⁻⁻⁻	*tua⁵
35	48	大		tua⁵	tua⁶	tua¹	tua⁶	tua⁶	tua¹	*tua⁶
20	52	烏		ɔ¹	ɔ¹	u¹	ou¹	ou¹	ɛu¹	*ou¹
80	58	血		huiʔ⁷	hueʔ⁷	hue⁵	hueʔ⁷	hueʔ⁷	huɛ⁷	*hueʔ⁷
84	63	骨		kut⁷	kut⁷	koʔ⁷	kuk⁷	kuk⁷	kuk⁷	*kut⁷
1	71	枝		ki¹	ki¹	ki¹	ki¹	ki¹	⁻⁻⁻	*ki¹
3	87	鯉		tai⁴	tai⁶	tɛ⁴				*tai⁴
	87	鯉					li³	li³	li	*li³
47	91	貓		ba²	ba²	mã¹			ba²	*ma²
	91	貓		niãu²	liãu¹		ŋiau¹	ŋiau¹		*niau¹~ŋiau¹
12	99	雞		kue¹	ke¹	ki¹	koi¹	koi¹	kɔi¹	*koi¹
44	112	頭		tʰau²	tʰau²	tʰɔ²	tʰau²	tʰau²	tʰau²	*tʰau²
95	124	□	roach	tsuaʔ⁸	tsuaʔ⁸	tsua⁴	tsuaʔ⁸	tsuaʔ⁸	tsua⁴	*tsuaʔ⁸
88	139	飯		pŋ⁵	puĩ⁶	pŋ¹	puŋ⁶	pɯŋ⁶	pui¹	*pui⁶
109	140	銅		taŋ²	taŋ²	taŋ²	taŋ²	taŋ²	taŋ²	*taŋ²
16	149	牛		ɡu²	gu²	gu²	gu²	gu²	ŋu²	*ŋu²
56	168	暗		am⁵	am⁵	aŋ⁵	am⁵	am⁵	am⁵	*am⁵
64	170	日		lit⁸	dzit⁸	leʔ⁸	zek⁸	zik⁸	ziek⁸	*dit⁸
102	187	龍		liŋ²	liɔŋ²	loŋ²	leŋ²	leŋ²	liaŋ²	*lɯŋ²
100	188	夢		baŋ⁵	baŋ⁶	baŋ⁵	maŋ⁶	maŋ⁶	maŋ¹	*maŋ⁶
59	195	鴨		aʔ⁷	aʔ⁷	a⁵	aʔ⁷	aʔ⁷	a⁷	*aʔ⁷
54	198	染		nĩ³	lĩ³	niŋ³	ni³	ni³	ni³	*nĩ³
48	201	早		tsa³	tsa³	tsa³	tsa³	tsa³	tsa³	*tsa³
87	208	卵		nŋ⁴	luĩ⁶	nuŋ⁴	nɯŋ⁴	nɯŋ⁴	nui⁴	*nuĩ⁴
75	210	八		pueʔ⁷	peʔ⁷	pe⁵	poiʔ⁷	poiʔ⁷	pɔi⁷	*poiʔ⁷
101	222	目		bak⁸	bak⁸	baʔ⁸	mak⁸	mak⁸	mak⁸	*mak⁸
4	223	眉		bai²	bai²	bɛ²	bai²	bai²	bai²	*bai²
62	224	面		bin⁵	bin⁶	beŋ⁵	meŋ⁶	miŋ⁶	mieŋ¹	*min⁶
6	230	肥		pui²	pui²	pui²	pui²	pui²	pui²	*pui²
105	232	叔		tsiak⁷	tsik⁷	tsɤ⁴	tsek⁷	tsek⁷	tsip⁷	*tsɯk⁷
21	249	五		gɔ⁴	gɔ⁶	gu⁴	ŋou⁴	ŋou⁴	ŋɛu⁴	*ŋou⁴
14	250	苧		tue⁴	te⁶	tiɔ⁴	tiu⁴	tiu⁴	⁻⁻⁻	*tioi⁴
15	252	浮		pʰu²	pʰu²	pʰu²	pʰu²	pʰu²	pʰu²	*pʰu²
66	254	蠅		sin²	sin²	seŋ²	seŋ²	siŋ²	siŋ²	*sin²
13	255	飛		pə¹	pue¹	pue¹	pue¹	pue¹	puɛ¹	*puø¹
