id	zi	gloss	QZ	ZZ	DT	JY	CY	LZ	PSM		
1	豐		hɔŋ¹	hɔŋ¹	hoŋ¹	hoŋ¹	hoŋ¹	hɔŋ¹	*hoŋ¹		
2	腔		kʰiĩ¹	kʰiʂ¹	kʰiŋ0	kʰiõ¹	kʰi¹	kʰiaŋ0	ɤkʰio¹		
3	陪		pue²	pue²	pue²	pue²	pʰue²	pʰui²	pue²		
4	數		siau⁵	siau⁵	su⁵	siau⁵	siau⁵	siau⁵	*siau⁵		
5	簿		pʰɔ⁴	pʰɔ⁵	pʰu⁴	pou⁴	pʰou⁴	pʰeu⁴	ʷpʰou⁴		
6	賴		lua⁵	lua⁶	lua¹	lua⁶	lua⁶	nua¹	*lua⁶		
7	橫		huiĩ²	huã²	huã²	huɐ̃²	huɐ̃²	huɛ²	*huẽ²		
8	燃		hiã²	hiã²	ɐᴇᴇ³	hiã²	ɐᴇɐ⁻	hia²	*hiã²		
9	事		tai⁵	tai⁶	tɛ¹	sɯ⁶	su⁶	su⁷	*tai⁶~*sɿ⁶		
10	後		au⁴	au⁶	ɔ⁴	au⁴	au⁴	au⁴	ɤ*au⁴		
11	歲		hə⁵	hue⁵	hue⁵	hue⁵	hue⁵	huɛ⁵	*huø⁵		
12	絕		tsəʔ⁸⁴	tseʔ⁸	tsuaʔ⁸	tso⁴ʔ⁸	tsoʔ⁸	tsiek⁸	*tsøʔ⁵		
13	巷		haŋ⁵	haŋ0	haŋ⁵	haŋ⁴	haŋ⁶	hɔ⁴	*haŋ⁶		
14	又		iu⁵	iu⁶	iu¹	iu⁴	iuĩ⁴	iu¹	*iu⁶		
15	莧		huiĩ⁵	hian⁶	hiŋ⁵	hãi⁶	hõii⁶	hai¹	*hõi⁶		
16	祠		sɯ²	su²	sɤ²	sɯ²	su²	tsʰu²	*sɿ²		
17	應		in⁵	in⁵	eŋ⁵	eŋ⁵	eŋ⁵	iŋ⁵	*en⁵		
18	答		taʔ⁷	taʔ⁷	ta⁵	tap⁷	tap⁷	tap⁷	*taʔ⁷⁻*tap⁷		
19	蟻		hia⁴	hia⁶	hia⁴	hia⁴	hia⁴	hia⁴	*hia⁴		
20	掠		liaʔ⁸	liaʔ⁵	lia⁴	liaʔ⁸	liaʔ⁸	lia⁴	*liaʔ⁸		
21	遘		kau⁵	kau⁵	kɔ	kau⁵	kau⁵	kau⁵	*kau⁵		
22	艾		hiã⁵	hiã⁶	hiã⁵	hiã⁶	hiã⁶	ŋai⁴	ɤ*ŋhiã⁶		
23	問		bɪŋ⁵	bui⁶	mŋ⁵	muŋ⁶	mɯŋ⁶	mui¹	ɤ*muiĩ⁶		
24	秋		tsʰiu¹	tsʰiu¹	tsʰiu¹	tsʰiu¹	tsʰiu¹	tsʰiu¹	*tsʰiu¹		
25	免		bian³	bian³	biaŋ³	mmiaŋ0	miaŋ0	mieŋ³	*mian³		
26	斧		pɔ³	pʰu³	pu³	pou³	pou³	pɛu³	ɤ*pou³		
27	竹		tiak⁷	tik⁷	toʔ⁷	tek⁷	tek⁷	tip⁷	*tɯk⁷		
28	筍		sun²	sun³	sueŋ⁹	suŋ	suŋ²	suŋ²	*sun³		
29	吠		pui⁵	pui⁶	pui¹	pui⁶	pui⁶	pui¹	*pui⁶		
30	麥		beʔ⁸	bɛʔ⁸⁵	ba⁴	beʔ⁴	beʔ⁸	bɛ⁴	*beʔ⁴		
31	箕		ki¹	ki¹	ki¹	ki¹	ki¹	ki¹	ɤki¹		
32	浴		iak⁸	ik⁸	zioʔ⁸	ek⁸	ek⁸	iak⁸	ɤ*ɯk⁸		
33	是		si⁴	si⁶	si⁴	si⁴	si⁴	si⁴	*si⁴		
34	楝		nuiĩ⁵	liŋ⁶	liaŋ⁵	nai⁴	noi⁶	lieŋ⁷	*nõi⁶		
35	喙		tsʰui⁵	tsʰui⁵	⁻⁻⁻⁻	tsʰui⁵	tsʰui⁵	tsʰui⁵	*tsʰui⁵		
36	豆		tau⁵	tau⁶	tɔ¹	tau⁶	tau⁶	tau¹	*tau⁶		
37	熊		him²	him²	heŋ²	him²	him²	hiɔŋ⁴	*him²		
38	鬚		tsʰiu¹	tsʰiu¹	tsʰiu¹	tsʰiu¹	tsʰiu¹	tsʰiu¹	*tsʰiu¹		
39	眠床		tsʰŋ²	bin⁴ tsʰŋ²	beŋ0 tsʰɯuɪŋ²	meŋ² tsʰɯŋ²	muɪŋ² tsʰõ²	kɔi⁷tsʰɔ²	ʷmin²		
40	蜂		pʰaŋ¹	pʰaŋ¹	pʰaŋ	pʰaŋ¹0	pʰaŋ⁷	pʰaŋ	⁴pʰaŋ		
41	乞		kʰit⁷	kʰit⁷	kʰeʔ⁷	kʰek⁷	kʰik⁷	kʰiek⁷	⁴kʰit⁷		
42	初		tsʰue¹	tsʰe¹	tsʰi¹	tsʰiu¹	tsʰiu¹	tsʰɔi¹	tsʰioi¹		
43	肚		tɔ³	tɔ³	tu²	tou³	tou³	tɛu³	ɤtou³		
44	屬		siɔk⁸	siɔk⁸	soʔ⁸	sok⁸	sok⁸	sɔk⁸	*siok⁸		
45	帶		tua⁵	tua⁵	tua⁵	tua⁵	tua⁵	⁻⁻⁻	*tua⁵		
46	拗		au³	au³	a³	a³	a³	a³	*a³⁻⁻au³		
47	賜		sɯ⁵	su⁵	sɤ⁵	sɯ⁵	su⁵	su⁵	*sɿ⁵		
48	大		tua⁵	tua⁶	tua¹	tua⁶	tua⁶	tua¹	*tua⁶		
49	鳥		tsiau³	tsiau³	⁻⁻⁻⁻	tsiau³	tsiau³	tsiau³	*tsiau³		
50	咬		ka⁴	ka⁶	ka³	ka⁴	ka⁴	ka⁴	*ka⁴		
51	苦		kʰɔ³	kʰɔ³	kʰu³	kʰou³	kʰou¹	kʰɛu³	*kʰou³		
52	烏		ɔ¹	ɔ¹	u¹	ou¹	ou¹	ɛu¹	*ou¹		
53	□		saʔ⁸	saʔ⁸	sa⁴	saʔ⁸	saʔ⁷	sa⁴	*saʔ⁸		
54	被		pʰə⁴	pʰue⁶	pʰue⁴	pʰue⁴	pʰue⁴	pʰuɛ⁴	ʷpʰuø⁴		
55	盲		bĩ²	bɐ̃²	mã²	me²	me²	meɛ²	ɤ*mẽ²		
56	□		nĩʔ⁷	lĩʔ⁷	⁻⁻⁻	niʔ⁷	niʔ⁷	ni⁷	ɤ*niʔ⁷		
57	閘		tsaʔ⁸⁴	tsaʔ⁸⁵	⁻⁻⁻⁻	tsaʔ⁸	⁻⁻⁻⁻	⁻⁻⁻⁻	*tsaʔ⁸		
58	血		huiʔ⁷	hueʔ⁷	hue⁵	hueʔ⁷	hueʔ⁷	huɛ⁷	*hueʔ⁷		
59	吹		tsʰə¹	tsʰue¹	tsʰue¹	tsʰue¹	tsʰue¹	tsʰui¹	tsʰuø¹		
60	□		pu0	pun⁹	pueŋ⁷	puŋ0	puŋ̃0	puŋ̃	ʷpun²		
61	鈍		tun⁶	tun¹	tueŋ¹	tuŋ¹	tuŋ¹	tuŋ¹	ɤ*tun¹		
62	身		sin¹	sin¹	seŋ¹	seŋ⁴	siŋ¹	sieŋ¹	*sin¹		
63	骨		kut⁷	kut⁷	koʔ¹	kuk⁷	kuk⁷	kuk⁷	ɤkut⁷		
64	冊		tsʰeʔ⁷	tsʰeʔ⁷	tsʰa⁵	tsʰeʔ⁷	tsʰeʔ⁷	tsʰe⁷	*tsʰeʔ⁷		
65	矸		kan¹	kan¹	⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	⁻⁻⁻⁻	*kan¹(?)		
66	樽		ɕɦȵ	ʂɕɤɤ³	ʂᴈɐᴇ	tsuŋ¹	tsuŋ¹	tsuŋ¹	ɤtsun¹()		
