id	zitou	en_gloss	bie_zitou	kwok-id	notes
1	枝	branch		71	
2	鼻	nose		436	
3	鯉	carp		87	
4	眉	eyebrow		223	
5	臍	navel		nil	
6	肥	fat		230	
7	水	water	沝	714	
8	書	book		nil	
9	nil	hoe	鋤	315	
10	簰	raft		nil	
11	nil	much	穧儕	399	
12	雞	chicken		99	
13	飛	fly, v.		255	
14	苧	ramie		250	
15	浮	float		252	
16	牛	cow		149	
17	手	hand		300	
18	樹	tree		689	
19	菇	mushroom		425	
20	烏	black		52	
21	五	five		249	
22	墓	grave		290	
23	廚	kitchen		nil	
24	雨	rain		484	
25	nil	house	戍	324	
26	刀	knife		364	
27	毛	hair		296	
28	耙	rake		nil	
29	馬	horse		322	
30	斜	slanted		nil	
31	蔗	sugarcane		nil	
32	畫	draw		458	
33	沙	sand		532	
34	我	1sg		333	
35	大	big		48	
36	帶	belt		45	
37	蛇	snake		596	
38	騎	ride v.		510	
39	外	outside		449	
40	短	short		564	
41	坐	sit		575	
42	條	long thing, mw.		nil	
43	鉤	hook		nil	
44	頭	head		112	
45	草	grass		nil	
46	雷	thunder		678	
47	貓	cat		91	
48	早	early		201	
49	笑	laugh		374	
50	熊	bear		37	
51	十	ten		658	
52	針	needle		nil	
53	鐮	sickle		495	
54	染	dye		198	
55	簪	hairpin		297	
56	暗	dark		168	
57	三	three		675	
58	擔	shoulder, v.		nil	
59	鴨	duck		195	
60	翼	wing		733	
61	煙	smoke		nil	
62	面	face		224	
63	七	seven		552	
64	日	sun		170	
65	冰	ice		334	
66	蠅	fly n.		254	
67	直	straight		629	
68	nil	field		nil	
69	板	board		669	
70	賊	thief		516	
71	根	root		518	
72	乞	give		41	
73	肩	shoulder		566	
74	反	turn over		696	
75	八	eight		210	
76	扼	press down		nil	
77	年	year		744	
78	鐵	iron		349	
79	舌	tongue		685	
80	血	blood		58	
81	船	boat		560	
82	出	come out		282	
83	掘	dig		nil	
84	骨	bone		63	
85	滑	slippery		585	
86	酸	sour		604	
87	卵	egg		208	
88	飯	steamed rice		139	
89	脫	come off		393	
90	磚	brick		nil	
91	月	moon		416	
92	肝	liver		390	
93	傘	umbrella		699	
94	殺	kill		362	
95	nil	roach	甴	124	
96	泉	wellspring		nil	
97	懶	lazy		376	
98	滿	full		nil	
99	半	half		298	
100	夢	dream		188	
101	目	eye		222	
102	龍	dragon		187	
103	種	seed		nil	
104	竹	bamboo		27	
105	叔	younger uncle		232	
106	肉	meat		402	
107	蜂	hornet		40	
108	蔥	scallion	葱	nil	
109	銅	copper		140	
110	膿	pus		nil	
111	重	heavy		313	
112	腹	abdomen		nil	
113	角	horn		321	
114	六	six		576	
115	腸	intestine		344	
116	兩	two		698	
117	索	rope		519	
118	擇	choose		nil	
119	落	fall		nil	occurs in prose
120	羊	sheep		559	
121	上	rise		488	
122	石	rock		627	
123	箬	leaf		377	
124	青	green, raw		nil	
125	平	flat		nil	
126	井	well		723	
127	白	white		725	
128	名	name		427	
129	鼎	iron pot		269	
130	赤	red		nil	
131	橫	horizontal		7	
132	圓	round		520	
