id	13	107	88	104	67	6	15	44	70	7	17	18	30	24	66	16	64	37	79	81	19	92	80	59	82	115	114	8	124	35	1	101	25	112	22	123	12	129	34	116	40	11	89	87
zitou	飛	蜂	飯	竹	直	肥	浮	頭	賊	水	手	樹	斜	雨	蠅	牛	日	蛇	舌	船	菇	肝	血	鴨	出	腸	六	書	青	大	枝	目		腹	墓	箬	雞	鼎	我	兩	短		脫	卵
xiamen																																												
jinmen	pɤ1	phaŋ1	pŋ6	tik7	tit8	pui2	phu2	tau6	tshat8	tsui3	tshiu3	tshiu6	tshia2	hɔ6	sin2	gu2	dzit8	tsua2	tsiʔ8	tsun2	kɔ1	kuã1	huiʔ7	aʔ7	tshut7	tŋ2	lak8	tsɯ1	tshĩ1	tua6	ki1	bak8	tshu5	pak7	bɔ6	hioʔ8	kue1	tiã3	gua3	lŋ6	tɤ3	tsue6		lŋ6
tongan	pɤ1	phaŋ1	pŋ6	tik7	tit8	pui2	phu2	tau6	tshat8	tsui3	tshiu3	tshiu6	tshia2	hɔ6	sin2	gu2	dzit8	tsua2	tsiʔ8	tsun2	kɔ1	kuã1	huiʔ7	aʔ7	tshut7	tŋ2	lak8	tsɯ1	tshĩ1	tua6	ki1	bak8	tshu5	pak7	bɔ6	hioʔ8	kue1	tiã3	gua3	lŋ6	tɤ3	tsue6		lŋ6
quanzhou																																												
jinjiang																																												
shishi	pɤ1	phaŋ1	pŋ5	tiak7	tit8	pui2	phu2	tau5	tshat8	tsui3	tshiu3	tshiu5	tshia2	hɔ1	sin2	gu2	lit8	tsua2	tsiʔ8	tsun2	kɔ1	kuã1	huiʔ7	aʔ7	tshut7	tŋ2	lak8	tsɯ1	tshĩ1	tua5	ki1	bak8	tshu5	pak7	bɔ5	hioʔ8	kue1	tiã3	gua3	lŋ5	tɤ3	tsue6		lŋ1
nan'an	pɤ1	phaŋ1	pŋ5	tik7	tit8	pui2	phu2	tau5	tshat8	tsui3	tshiu3	tshiu5	tshia2	hɔ4	sin2	gu2	lit8	tsua2	tsiʔ8	tsun2	kɔ1	kuã1	huiʔ7	aʔ7	tshut7	tŋ2	lak8		tshĩ1	tua5	ki1	bak8	tshu5	pak7	bɔ5	hioʔ8	kue1	tiã3	gua3	lŋ4	tɤ3	tsue6		lŋ4
huian	pɤ1	phaŋ1	pŋ5	tiak7	tit8	pui2	phu2	tau5	tshat8	tsui3	tshiu3	tshiu5	tshia2	hɔ5	sin2	gu2	lit8	tsua2	tsiʔ8	tsun2	ko1	kuã1	huiʔ7	aʔ7	tshut7	tŋ2	lak8		tshĩ1	tua5	ki1	bak8	tshu5	pak7	bɔ5	ioʔ8	kue1	tiã3	gua3	lŋ5	tɤ3	tsue6		lŋ5
anxi	pɤ1	phaŋ1	pŋ5	tik7	tit8	pui2	phu2	tau5	tshat8	tsui3	tshiu3	tshiu5	tshia2	hɔ4	sin2	gu2	lit8	tsua2	tsiʔ8	tsun2	kɔ1	kuã1	huiʔ7	aʔ7	tshut7	tɔ̃2	lak8		tshĩ1	tua5	ki1	bak8	tshu5	pak7	bɔ5	hioʔ8	kue1	tiã3	gua3	lŋ4	tɤ3	tsue6		lŋ4
yongchun																																												
dehua	pɤ1	phaŋ1	pŋ5	tik7	tit8	pui2	phu2	tau5	tshat8	tsui3	tshiu3	tshiu5	tshia2	hɔ4	sin2	gu2	lit8	tsua2	tsiʔ8	tsun2	kɔ1	kuã1	huiʔ7	aʔ7	tshut7	tŋ2	lak8	tsɯ1	tshĩ1	tua5	ki1	bak8	tshu5	pak7	bɔ̃5	hioʔ8	kue1	tiã3	gua3	lŋ5	tɤ3	tsue6		lŋ5
zhangzhou																																												
longhai	pue1	phaŋ1	puĩ6	tik7	tit8	pui2	phu2	tau6	tshat8	tsui3	tshiu3	tshiu6	tshia2	hɔ6	sin2	gu2	dzit8	tsua2	tsiʔ8	tsun2	kɔ1	kua1	hueʔ7	aʔ7	tshut7	tŋ2	lak8		tshɛ̃1	tua6	ki1	bak8	tshu5	pak7	bɔŋ6	hioʔ8	ke1	tiã3	gua3	lɔ̃6	te3	tse6		luĩ6
changtai	pue1	phaŋ1	pŋ6	tik7	tit8	pui2	phu2	tau6	tshat8	tsui3	tshiu3	tshiu6	sia2	heu6	sin2	gu2	dzit8	tsua2	tsiʔ8	tsun2	keu1	kuã1	hueʔ7	aʔ7	tshut7	tɔ̃2	lak8		tshẽ1	tua6	ki1	bak8		pak7	bɔŋ6	hiɔʔ8	kue1	tiã3	gua3	lɔ̃6	te3	tsue6		luĩ6
huaan	pue1	phaŋ1	puĩ6	tik7	tit8	pui2	phu2	tau6	tshat8	tsui3	tshiu3	tshiu6	sia2	hɔ6	sin2	gu2	dzit8 / git8	tsua2	tsiʔ8	tsun2	kɔ1	kuã1	hueʔ7	aʔ7	tshut7	tŋ2	lak8		tshɛ̃1	tua6	ki1	bak8	tshu5	pak7	bɔŋ6	hioʔ8	ke1	tiã3	gua3	lɔ̃6	te3	tse6		lŋ6
nanjing	pue1	phaŋ1	puĩ6	tik7	tit8	pui2	phu2	tau6	tshat8	tsui3	tshiu3	tshiu6	sia2	hɔ6	sin2	gu2	dzit8	tsua2	tsiʔ8	tsun2	kɔ1	kuã1	hueʔ7	aʔ7	tshut7	tŋ2	lak8		tshɛ̃1	tua6	ki1	bak8	tshu5	pak7	bɔŋ6	hioʔ8	ke1	tiã3	gua3	lɔ̃6	te3	tse6		luĩ6
pinghe	pue1	phaŋ1	puĩ6	tek7	tit8	pui2	phu2	tau6	tshat8	tsui3	tshiu3	tshiu6	sia2	hɔu6	sin2	gu2	dzit8	tsua2	tsiʔ8	tsun2	kɔu1	kuã1	hueʔ7	aʔ7	tshut7	tŋ2	lak8		tshɛ̃1	tua6	ki1	bak8	tshu5	pak7	bɔŋ6	hioʔ8	ke1	tiã3	gua3	lŋ6	te3	tse6		luĩ6
zhangpu																																												
