tone	xiamen	zhangping	yongchun	chongan	jian'ou	tongyou	shufang	yongan	shaowu	heping	gaotang	fu'an	foochow
1	⁵⁵	²⁴	⁴⁴	⁵³	⁵⁴	⁵³	⁵³	⁵³	²¹	²⁴	⁴⁴	⁴³	⁵⁵
2	²⁴	²²	²⁴	³³⁴		³³	³³	³²	²²	¹³	¹³	¹¹	⁵⁴
3	⁵¹	⁵¹	⁵³	³¹	²¹	²¹	²¹	²¹	⁵⁵	³³	³¹	⁵²	²²
4					⁴³			⁴³		⁴			
5	¹¹	²¹	²¹	²²	²²	³²	³²	³⁵	¹³	⁴⁵	²⁴	³⁵	²¹³
6	³³	⁴⁴	²²	⁵⁵	⁴⁴	⁴³	⁴³		³⁵	⁴⁴	⁵²	²¹³	³⁴²
7	³²	³²	⁴³	²⁴	³⁵	³⁵	³⁵	¹³	⁵³	³¹		⁵⁴	²⁴
8	⁵⁵	⁴	⁵	⁵³		⁴³	⁴³				⁵⁴	²¹	⁵⁵
9						³¹	³¹				²¹		
note	from Finals	from ShZh	from ShZh	from Handel	from Finals	from Finals	copied tongyou	from Finals	from Diss	from Glossary	from Finals	from Finals	from Finals
