id	zi	nan'an	jinjiang	zhangpu	chenghai	xianyou	putian	jianyang	songxi	mingxi	sanyuan	shaxian	jiangle	taining	jianning	shaowu
63	七	tsʰit⁵		sit³²/tsʰit³²	tsʰik¹	tsʰiʔ²	tsʰiʔ²¹	tʰɔi²¹⁴	tsʰei²²⁴	tsʰi³¹/tsʰi⁵	tsʰi²¹³	tsʰe²¹²	tsʰi⁵	tsʰei³⁵⁴	tsʰit²	tʰi⁵³
57	三	sã³³/sam³³	sã³³/sam³³	sã⁵⁵/sam⁵⁵	sã³³/saŋ³³	ɬɒ̃⁵⁴/ɬaŋ⁵⁴	ɬɒ⁵³³/ɬaŋ⁵³³	saŋ⁵³	saŋ⁵²	saŋ³³	sɔ̃⁵⁵³	sɔ̃³³	saŋ⁵⁵	saŋ²¹	sam³⁴	
121	上	siɔŋ³¹/tsiũ³¹/tsiũ¹¹		siaŋ³³/tsʰiũ³³/tsiũ³³	siaŋ³⁵/tsiẽ³⁵	ɬyøŋ²¹/ɬiũ²¹	ɬyɒŋ¹¹/ɬiau¹¹/tsʰiau¹¹	siɔŋ⁴³/tsiɔŋ³³²/ɦiɔŋ³³²	sioŋ⁴⁵/tsioŋ⁴⁵/hioŋ⁴¹	soŋ⁵⁴/soŋ³¹	siam³³/ʃiam³³/ʃiam³⁵³	siŋ²⁴	ʃɔŋ²³¹/ʃɔŋ⁵¹		sɔŋ⁴⁵	ɕioŋ³⁵
21	五	gɔ¹¹/gɔ⁵⁵	gɔ³³/gɔ⁵⁵	gɔu³³/gɔũ⁵³	ŋou³⁵	kɔu³²/ŋɔu²¹	kɔu⁴⁵³/ŋɔu¹¹	ŋo³³²/ŋo²¹	ŋu⁴¹	ŋu³¹	ŋu²¹	go²¹	ɤŋ⁵¹	nu³⁵⁴	ŋu⁵⁵	ŋ⁵⁵
126	井	tsĩ⁵⁵/tsiŋ⁵⁵		tsɛ̃⁵³/tsɛŋ⁵³	tsẽ⁵²	tsã³²/tsiŋ³²	tsa⁴⁵³/tsiŋ⁴⁵³		tsaŋ²²³	tsiaŋ³¹/tsɛŋ³¹	tsɔ̃²¹	tsɔ̃²¹	tsiaŋ⁵¹/tsɪ̃⁵¹	tsən³⁵⁴/tsiaŋ³⁵⁴	tsiaŋ⁵⁵	tsiaŋ⁵⁵/tsin⁵⁵
93	傘	suã³¹	suã³¹	suã¹¹/san¹¹	suã²¹²	ɬuã³²	ɬua⁴⁵³/ɬaŋ⁴⁵³	sueiŋ²¹	sueiŋ²²³	suõ³¹	sŋ²¹	suẽ²¹	sɛ̃⁵¹			
116	兩	liɔŋ⁵⁵/niũ⁵⁵		liũ⁵³/liaŋ⁵³	lo⁵²/niaŋ⁵²/niẽ⁵²	lŋ³²/nyøŋ³²/niũ³²/lyøŋ³²	luŋ⁴⁵³/nyɒŋ⁴⁵³/niau⁴⁵³/lyɒŋ¹¹	liɔŋ²¹/sɔŋ³³²	lioŋ²²³/saŋ⁴⁵/lioŋ⁴⁴	laŋ²¹/lioŋ³¹/lioŋ⁵⁴	liam²¹	liŋ²¹	liɔŋ⁵¹	lioŋ³⁵⁴	liɔŋ⁵⁵	lioŋ⁵⁵
75	八	pat⁵/pueʔ⁵	pueʔ⁵⁵/pat⁵⁵	bat³²/pat³²	poi¹	pɛʔ²/paʔ²	pe¹¹/pɛʔ²¹/paʔ²¹	pai²¹⁴	pa²²⁴	pa³¹/pa⁵	pɛ²¹³	pe²¹²	pa⁵¹	pæ³⁵⁴	pat²	pie⁵³
114	六	lak³/liɔk³		lak¹⁴/liɔk¹⁴	lak⁵	laʔ⁴/lyøʔ⁴	laʔ⁴/lœʔ⁴	ly⁴/so⁴	sɒu⁴¹	liu⁵⁴	ly³⁵³	ly⁵³	liu⁵/ʃu³²⁴	su⁵¹/liu²¹	liuk⁵	ly³⁵/su⁵³
65	冰			pɛŋ⁵⁵	piã³³	piŋ⁵⁴	piŋ⁵³³	paiŋ⁵³	paŋ⁵²	pɛŋ³³		pɔɪ̃³³/pɛiŋ³³	pɛ̃⁵⁵/pɪ̃⁵⁵	pon²¹/pən²¹	pəŋ³⁴	pɛn²¹
82	出	tsʰut⁵		sut³²/tsʰut³²	tsʰuk¹	tsʰuoʔ²	tsʰue¹¹/tsʰɔʔ²¹	tsʰy²¹⁴	tsʰy²²⁴	tsʰø³¹/tsʰø⁵	tʃʰyi²¹³	tʃʰye²¹²	tʃʰiu⁵¹/tʃʰy⁵¹			
26	刀	to³³	to³³	to⁵⁵	to³³	to⁵⁴/tɒ⁵⁴	to⁵³³/tɒ⁵³³	tau⁵³	to⁵²	tau³³	taɯ⁵⁵³	to³³	tau⁵⁵	to²¹	tau³⁴	tau²¹
51	十	sip³/tsap³	sip²⁴/tsap²⁴	sip¹⁴/tsap¹⁴	tsak⁵	ɬɛʔ⁴/ɬieʔ⁴/ɬiʔ⁴	ɬɛʔ⁴/ɬiʔ⁴		si⁴⁵/tsi⁴⁵	ʃɿ⁵⁴	sɿ³⁵³	sɿ⁵³	ʃi⁵	si²¹	sip⁵	ɕin³⁵
99	半	puã³¹/puan³¹/pun³¹	puã³¹/puan³¹	puã¹¹/puan¹¹	puã²¹²	puã⁵²/puoŋ⁵²	pua⁴²/puaŋ⁴²	pɔiŋ³³²	pueiŋ³³	puõ²⁴	pŋ³³	puɪ̃²⁴	puɛ̃³²⁴	puan⁵¹	pɔn²¹	pon²¹³
87	卵	lan¹¹/nŋ̩¹¹	lan³³	luĩ³³/luan⁵³	laŋ³⁵/nəŋ³⁵	lɛŋ³²/nuoŋ²¹/nỹ²¹	lø⁴⁵³/nuaŋ¹¹/nɛŋ¹¹	suŋ³³²	sueiŋ⁴⁵	luõ⁵/luõ³¹	lŋ²¹/ʃyɛ̃³⁵³	nuẽ²¹/suɪ̃⁵³	luɛ̃⁵¹/ʃuɛ̃⁵¹	suan³⁵⁴/nuan³⁵⁴	lɔn⁴⁵	
74	反	huan⁵⁵/puĩ⁵⁵	huan⁵⁵/puɪ̃⁵⁵	huan⁵³/pɛŋ⁵³	huaŋ⁵²/poĩ⁵²	huoŋ³²/pĩ³²	huaŋ⁴⁵³/pe⁴⁵³	xueiŋ²¹/βaiŋ²¹	huaŋ²²³/paŋ³¹	faŋ³¹/pʰaŋ³¹	hŋ²¹/pɛ̃²¹	pɔɪ̃²¹/xuẽ²¹	pʰɛ̃⁵¹			
105	叔	siɔk⁵/tseʔ⁵/tsik⁵		siɔk³²	sok¹/tsek¹	ɬyøʔ²/tsyøʔ²	ɬœʔ²¹/tsœʔ²¹	sy²¹⁴	sy²²⁴	siu⁵	ʃy²¹³	ʃø²¹²	ʃu⁵¹	siu³⁵⁴	suk²/su²¹²¹³	ɕy³⁵/ɕy⁵³
128	名	biŋ²⁴/miã²⁴		biã²¹³/bɛŋ²¹³	miã⁵⁵/meŋ⁵⁵	miã²⁴/miŋ²⁴	mia¹³/miŋ¹³	miaŋ³³⁴	miaŋ⁴⁴	miaŋ⁵/mɛŋ²¹	miɔ̃⁴¹/mã⁴¹	miɔ̃³¹	miaŋ²¹/mɪ̃²²	miaŋ⁵¹/mən³³	miaŋ²¹³/miŋ²¹³	min³³/miaŋ⁵³
132	圓	ĩ²⁴/uan²⁴	ɪ̃²⁴/uan²⁴		ĩ⁵⁵	iŋ²⁴/yøŋ²⁴	iŋ¹³/œŋ¹³	yeiŋ³³⁴	yŋ⁴⁴/hyŋ³¹	ieŋ²¹/vuõ²¹	yaiŋ⁴¹	yɪ̃³¹	yø̃²²/ŋuɛ̃²²	yøn³³/uan³³	vien²¹³	vən³³/vien³³
41	坐	tsɔ¹¹	tse³³/tsɔ³³	tsɛ³³/tso³³	tso³⁵	ɬø²¹/tsɒʔ²	ɬø¹¹/tsɒʔ²¹		tsua⁴⁵	tsʰue³¹/tsʰɤ⁵⁴	tsuɛ³⁵³	tsue⁵³/tso⁵³	tsʰuæ²¹/tsʰo²³¹	tʰo²¹³/tʰuai³⁵⁴	tʰɔ⁵⁵	tsʰtsʰ³⁵
22	墓	bɔ³¹	bɔ³¹		mo³⁵	mɔu⁵²	mɔu⁴²	mo⁴³	mu⁴⁵	mu⁵⁴	mu³³	mu²⁴		mu²¹³	mu⁴⁵	mio²¹³/mu²¹³
39	外	gua³¹/gue³¹	gua⁴¹	gua³³/guɛ³³	gua¹¹	kua²¹/kuoi²¹	kua¹¹/kue¹¹	ŋye⁴³	ŋœ⁴⁵	va⁵⁴	ŋo³³	gya²⁴	ŋuæ²³¹			
100	夢	baŋ³¹/bɔŋ³¹		baŋ³³/bɔŋ³³	maŋ¹¹	maŋ⁵²/mɒŋ⁵²	maŋ⁴²/mɒŋ⁴²	moŋ⁴³	moŋ⁴⁵	mɤŋ⁵⁴	mã³³	bɔuŋ²⁴	m.mɛ̃²¹/m.mɤŋ²³¹			
35	大	tai³¹/ta³³/tua³¹	tai³¹/tua⁴¹/ta³³	tai³³/tua³³	tai³⁵/tua¹¹	tai²¹/tua²¹	tai¹¹/tua¹¹	tue⁴³	tua⁴¹/tua⁴⁵		to³³	tua²⁴	tæ²³¹	hai²¹³	hai⁴⁵	
36	帶	tai³¹/tua³¹	tua⁴¹/tai³¹	tua¹¹/tai¹¹	tua²¹²	tua⁵²/tai⁵²	tua⁴²/tai⁴²	tue³³²	tua³³	tue²⁴/ta²⁴	ta³³	tai²⁴	tæ³²⁴	tai⁵¹	tai²¹	tai²¹³
125	平	pĩ²⁴/piã²⁴/piŋ²⁴/pʰĩ²⁴/pʰiã²⁴		pɛŋ²¹³/pʰɛŋ²¹³	pʰeŋ⁵⁵	pã²⁴/piã²⁴/piŋ²⁴	pa¹³/pia¹³/piŋ¹³	βɔiŋ³³⁴	piaŋ⁴⁴/peiŋ³¹	pʰiaŋ²¹/pʰɛŋ²¹	piɔ̃⁴¹/pã⁴¹	piɔ̃³¹/pɛiŋ³¹	pʰiaŋ²²/pʰɪ̃²²	pʰiaŋ³³/pʰən³³	pʰiaŋ²¹³/pʰiŋ²¹³	pʰin³³/pʰiaŋ³³
77	年	nĩ²⁴	lian²⁴	lĩ²¹³/lian²¹³	nĩ⁵⁵	niŋ²⁴/nɛŋ²⁴	niŋ¹³/nɛŋ¹³	nieiŋ³³⁴	niŋ⁴⁴	laŋ²¹	ŋaiŋ⁴¹	ŋɪ̃³¹	ŋiɛ̃²¹/ŋiɛ̃²²	nan⁵¹/nien³³	nien²¹³	nien³³
97	懶			lan⁵³	laŋ⁵²	laŋ³²	laŋ⁴⁵³	lyeiŋ³³²	lueiŋ²²³	laŋ³¹	lɛ̃²¹		lɛ̃⁵¹	lan³⁵⁴	lan⁵⁵	lan⁵⁵
34	我	gua⁵⁵/ŋɔ̃⁵⁵	gua/ŋɔ̃	gua⁵³/gɔũ⁵³	ua⁵²/ŋo⁵²	kua³²/ŋɒ³²	kua⁴⁵³/ŋɒ⁴⁵³	ŋɔ²¹/βue⁴¹	ŋua⁴¹	ŋɤ³¹/vue³¹	ŋu⁵⁵³/ŋɯ²¹	gua³³/gɔ²¹	ŋo⁵¹	no³⁵⁴	ŋɔ⁵⁵/ŋa⁵⁵	
