id	zi	chongan	jian'ou	shufang	tongyou	jianyang	songxi	fu'an	yongchun
1	枝	ki1	ki1	ki1	ki1		ki⁵²	kei1	ki1
2	鼻	hei6	phi6	phɔi6	phoi6,hoi6		pʰei⁴⁵	p'ei5	p'i6
3		lei5	ti4	tɔi5	loi5			li3	li3
4	眉	mie2	mi5	me2	me2		mie⁴⁴	mei2	bi2
5	臍	tshie2	tshɛ5	tshe2	the2	tʰe³³⁴	tsʰie⁴⁴	chai2	tsai2
6	肥	pou2	py5	pø2	py2		py⁴⁴	poui2	
7	水	sy3	sy3	sy3	sy3		sy²²³	chüi3	
8	書	sy1	sy1	sy1	sy1	sy⁵³	sy⁵²	chuei1	tsɯ1
9	鋤	lou5	ty5	hy2,tø2 [p.15]	hy2,ly9	ly⁴¹		t'uei2	t'ɯ2
10		wai5	pai3	pai9	vai9			pe2	-
11		lai6	tsai6		lai6			se4	tsue6
12	雞	kai1	kai1	kai1	kai1	kai⁵³	ka⁵²	ki1	kue1
13	飛	y1	yɛ3	ye9	ye9		hœ⁴¹	pui1	
14	苧	lu5	ty4	to5	lo5	lo³³²	tɒu⁴¹	toe4	
15	浮	wieu5 [?]	iu3	iu9	iu9	ɦiu⁴¹	iu³¹	p'ou2	p'u2
16	牛	ŋiu2	niu5	niu	niu2	niu³³⁴	niu⁴⁴	ngou2	gu2
17	手	siu3	siu3	siu3	siu3	siu²¹	siu²²³	ch'iu3	ts'iu3
18	樹	tshiu6	tshiu6	tshiu6	tshiu6	tsʰiu⁴³	tsʰiu⁴⁵	ch'eiu5	chhiū
19		wu3	u3	o9	o3			kou1	kɔ1
20	烏	u1	u1	o1	o1	o⁵³	u⁵²	ou1	ɔ1
21	五	ŋu5 [?]	ŋu4	ŋo5	ŋo5	ŋo³³²	ŋu⁴¹	ngou4	gɔ6
22	墓	mu6		mɔ6 [[sic]]	mo6 [文]	mo⁴³	mu⁴⁵	mu5	bɔ6
23		tou2	ty5	tø2	ty2			tu2 [62]	tu2
24	雨	hou4	xou6	xy5	xy6	xy³³²	hœy⁴⁵	hu4	huo6
25		tshu5	tshio5	tshiɔ5	tshiɔ5			ch'u5	tshuo5
26	刀	tau1	tau1	tau1	tau1	tau⁵³	to⁵²	to1	to1
27	毛	mau5	mau2	mau2	mau5	mau³³⁴	mo⁴⁴	mo2	mŋ2
28		-	pa5	pa2	va9			pa2	pe2
29	馬	ma3	ma3	ma3	ma3	ma²¹	mɒ²²³	ma3	be3
30	斜	lia5	tsia3	tsia9	lia9	lia⁴¹	tsia³¹	ch'ei2	ts'ia2
31	蔗	tsia5	tsia5	tsia5	tsia5	tsia³³²	tsia³³	chie5	tsia5
32	畫	(ua1)	(ua4)	(ua8)	ua5	kua³³²	hua⁴¹	buo4	ue6
33	沙	suai1	suɛ1	soe1	sue1	sue⁵³	sua⁵²	suo1	sua
34	我	ŋuai1	uɛ4	ŋoe9	ŋue9	βue⁴¹	ŋua⁴¹	ngo3	gua3
35	大	tuai6	tuɛ6	toe6	tue6	tue⁴³	tua⁴⁵	tuo4	tua6
36	帶	tuai5	tuɛ5	toe5	tue5	tue³³²	tua³³	tai5	tua5
