id	zi	xiamen	nan'an	jinjiang	zhangping	zhangpu	chenghai	xianyou	putian
1	枝	ki1	ki³³	ki³³	ki1	ki⁵⁵	ki³³	ki⁵⁴	ki⁵³³
2	鼻	phĩ6	pʰi³¹	pʰi³¹	p'ĩ6	pit¹⁴/pĩ³³	pʰĩ¹¹	pʰi⁵²	pʰi⁴²
3		li3			li3				
4	眉	bai2	bi²⁴	bi²⁴	bai2	bai²¹³	bai⁵⁵	pai²⁴	pai¹³
5	臍	tsai2	tsai²⁴	tsai²⁴	tsai2	tsai²¹³	tsai⁵⁵	tsai²⁴	tsai¹³
6	肥	pui2	pui²⁴	pui²⁴	pui2	pui²¹³	pui⁵⁵	pui²⁴	pui¹³
7	水	tsui3	tsui⁵⁵	tsui⁵⁵	tsui3	tsui⁵³	tsui⁵²	tsui³²	tsui⁴⁵³
8	書	tsu1	tsɯ³³			si⁵⁵	tsə³³	tsy⁵⁴	tsy⁵³³
9	鋤	thi2	tʰɯ²⁴	tʰi²⁴		ti²¹³	tʰo⁵⁵	tʰy²⁴	tʰy¹³
10		pai2							
11		tsue6			tsei2				
12	雞	kue1	kue³³	kue³³	kei1	kiei⁵⁵	koi³³	ke⁵⁴	ke⁵³³
13	飛	pe1	pə³³	pe³³	pie1	puɛ⁵⁵	pue³³	puoi⁵⁴	pue⁵³³
14	苧	tue6	tue¹¹	tue³³	tiu6	tɛ³³		tø⁵²	tø¹¹
15	浮	phu2	pʰu²⁴	pʰu²⁴	p'u2	pʰu²¹³	pʰu⁵⁵	pʰu²⁴	pʰu¹³
16	牛	gu2	gu²⁴	gu²⁴	gu2	gu²¹³	gu⁵⁵	ku²⁴	ku¹³
17	手	tshiu3	tsʰiu⁵⁵	tsʰiu⁵⁵	ts'iu3	tsʰiu⁵³	tsʰiu⁵²	tsʰiu³²	tsʰiu⁴⁵³
18	樹	tshiu6	tsʰiu³¹	tsʰu³¹	tshiu5	tsʰiu³³	tsʰiu¹¹	tsʰiu⁵²	tsʰiu⁴²
19		kɔ			kou1				
20	烏	ɔ1	ɔ³³	ɔ³³	ou1	ɔu⁵⁵	ou³³	ɔu⁵⁴	ɔu⁵³³
21	五	gɔ3	gɔ⁵⁵	gɔ⁵⁵	goŋ6	gɔũ⁵³	ŋou³⁵	kɔu³²	kɔu⁴⁵³
22	墓	bong6	bɔ³¹	bɔ³¹	bong5		mo³⁵	mɔu⁵²	mɔu⁴²
23		tu2			ti2				
24	雨	hɔ6	hɔ¹¹	hɔ³³	hɔ5	hɔu³³	hou³⁵	hɔu²¹	hɔu¹¹
25		ts'u5			tshu5				
26	刀	to1	to³³	to³³	to1	to⁵⁵	to³³	tɒ⁵⁴	tɒ⁵³³
27	毛	mŋ2	mŋ²⁴	mɔ̃²⁴	muã1 [?]	bŋ²¹³	mo⁵⁵	mɒ²⁴	mɒ¹³
28		pe2			pia2 [鈀]				
29	馬	be3	be⁵⁵	be⁵⁵	bia3	bɛ⁵³	be⁵²	pɒ³²	pɒ⁴⁵³
30	斜	tshia2	tsʰia²⁴	tsʰia²⁴	sia2 [?]	tsʰia²¹³	sia⁵⁵	tsʰya²⁴	ɬia¹³
31	蔗	tsia5	tsia³¹	tsia³¹		tsia¹¹	tsia²¹²	tsia⁵²	tsia⁴²
32	畫	ui6	ue³¹	ue³¹	ui6	uɛ³³	ue¹¹	ua²¹	ua¹¹
33	沙	sua1	sua³³	sua³³	sua1	sua⁵⁵	sua³³	ɬua⁵⁴	ɬua⁵³³
34	我	gua3	gua⁵⁵	gua⁵⁵	gua3	gɔũ⁵³	ua⁵²	kua³²	kua⁴⁵³
35	大	tua6	tua³¹	tua³³	tua2	tua³³	tua¹¹	tua²¹	tua¹¹
36	帶	tua5	tua³¹	tua⁴¹	tua5	tua¹¹	tua²¹²	tua⁵²	tua⁴²
37	蛇	tsua2	tsua²⁴	tsua²⁴	tsua2	tsua²¹³	tsua⁵⁵	ɬya²⁴	ɬyɒ¹³
38	騎	khia2	kʰia²⁴	kʰia²⁴		kʰia²¹³	kʰia⁵⁵	kʰi²¹	kʰyɒ¹³
39	外	gua6	gua³¹	gua⁴¹	gua2	gua³³	gua¹¹	kua²¹	kua¹¹
40	短	te3	tə⁵⁵	te⁵⁵			to⁵²	tø³²	tø⁴⁵³
41	坐	tse6		tse³³	tsie6	tsɛ³³		ɬø²¹	ɬø¹¹
42	條	tiau2	tiau²⁴	tiau²⁴	tiau2	tiau²¹³	tiou⁵⁵		tiau¹³
43	鉤	kau1	kau³³	kau³³	kau1	kau⁵⁵	kau³³	kau⁵⁴	kau⁵³³
44	頭	thau2	tʰau²⁴	tʰau²⁴	thau2	tʰau²¹³	tʰau⁵⁵	tʰau²⁴	tʰau¹³
45	草	tsʰau3	tsʰau⁵⁵	tsʰau⁵⁵	ts'au3	so⁵³	tsʰau⁵²	tsʰɒ³²	tsʰɒ⁴⁵³
46	雷	lui2	lui²⁴	lui²⁴	lui2	lui²¹³	lui⁵⁵	lui²⁴	lui¹³
47	貓	ba2	ba²⁴	ba²⁴	ba2	ba²¹³	ba⁵⁵	pɒ²⁴	mɒ⁵³³
48	早	tsa3	tsa⁵⁵	tsa⁵⁵	tsa3	tsa⁵³	tsa⁵²	tsɒ³²	tsɒ⁴⁵³
49	笑	tshio5	tsʰio³¹	tsʰio⁴¹	ts'o5	tsʰiau¹¹	tsʰie²¹²	tsʰieu⁵²	tsʰiau⁴²
50	熊	him2	him²⁴		him2	him²¹³	hiŋ⁵⁵	hyøŋ²⁴	hœŋ¹³
51	十	tsap8	tsap³	tsap²⁴	tsiap8	tsap¹⁴	tsak⁵	ɬɛʔ⁴	ɬɛʔ⁴
52	針	tsiam1	tsam³³	tsam³³	tsiam1	tsam⁵⁵	tsaŋ³³	tsieŋ⁵⁴	tsiaŋ⁵³³
53	鐮	nĩ2	nuĩ²⁴	liam²⁴		liam²¹³	niaŋ⁵⁵	lieŋ²⁴	le¹³
54	染	nĩ3							
55	簪	tsiam1	tsam³³	tsam³³	tsam1	tsam⁵⁵	tsaŋ³³	tsaŋ⁵⁴	
56	暗	am5	am³¹	am³¹	am5	am¹¹	aŋ²¹²	aŋ⁵²	aŋ⁴²
57	三	sã1	sã³³	sã³³	sã1	sã⁵⁵	sã³³	ɬɒ̃⁵⁴	ɬɒ⁵³³
58	擔	tã5	tã³¹	tã³¹	tã5	tã¹¹	tã²¹²	tɒ̃⁵²	tɒ⁴²
59	鴨	aʔ7	aʔ⁵	aʔ⁵⁵	a7	aʔ³²		ɒ²¹	ɒ¹¹
60	翼		sit³					ɬiʔ⁴	ɬiʔ⁴
61	煙	in1	ian³³	ian³³		ian⁵⁵	iŋ³³	ɛŋ⁵⁴	ɛŋ⁵³³
62	面	bin6	bin³¹	bin³¹	bin5	bin³³	miŋ¹¹	miŋ⁵²	miŋ⁴²
63	七	tshit7	tsʰit⁵		ts'it7	sit³²	tsʰik¹	tsʰiʔ²	tsʰiʔ²¹
64	日	dzit8	lit³		lit8	dzit¹⁴	zik⁵	liʔ⁴	"tiʔ⁴ "
65	冰				pin1	pɛŋ⁵⁵	piã³³	piŋ⁵⁴	piŋ⁵³³
66	蠅	sin2	sin²⁴		sin2	sin²¹³	siŋ⁵⁵	ɬiŋ²⁴	ɬiŋ¹³
67	直	tit8	tit³		tit8	tit¹⁴	tik⁵	tiʔ⁴	tiʔ⁴
68		tshan2			ts'an2				
69	板	pan3	pan⁵⁵	pan⁵⁵	pan3		paŋ⁵²	paŋ³²	paŋ⁴⁵³
70	賊	tshat8	tsʰat³		ts'at8	tsʰat¹⁴	tsʰak⁵	tsʰɛʔ⁴	tsʰɛʔ⁴
71	根	kun1	kən³³		kin1	kin⁵⁵	kəŋ³³	kyŋ⁵⁴	kyŋ⁵³³
72		kʰit7			k'it7				
73	肩	kiŋ1			kẽi1	kɛŋ⁵⁵	koĩ³³	kĩ⁵⁴	ke⁵³³
74	反	piŋ3	puĩ⁵⁵	puɪ̃⁵⁵	pẽi3	pɛŋ⁵³	poĩ⁵²	pĩ³²	pe⁴⁵³
75	八	pueʔ7	pueʔ⁵	pueʔ⁵⁵	pei7	bat³² / pat³²	poi¹	pɛʔ²	pɛʔ²¹
76					at7 [壓]				
77	年	nĩ2	nĩ²⁴		nĩ2	lĩ²¹³	nĩ⁵⁵	niŋ²⁴	niŋ¹³
78	鐵	tʰiʔ7	tʰiʔ⁵	tʰiʔ⁵⁵	t'i7	tʰiʔ³²	tʰiʔ¹	tʰi²¹	tʰi¹¹
79	舌	tsiʔ8	tsiʔ³	tsiʔ²⁴	tsi8	tsiʔ¹⁴	tsiʔ⁵	ɬɛʔ²	ɬɛʔ⁴
80	血	huiʔ7	huiʔ⁵	huiʔ⁵⁵	hui7	huɛʔ³²	hueʔ¹	hyøʔ²	hœʔ²¹
81	船	tsun2	tsun²⁴	tsun²⁴	tsun2	tsuan²¹³	tsuŋ⁵⁵	yøŋ²⁴ / ɬuoŋ²⁴	ɬɔŋ¹³
82	出	tshut7	tsʰut⁵		ts'it7	tsʰut³²	tsʰuk¹	tsʰuoʔ²	tsʰɔʔ²¹
83	掘	kut8	kut³		kut8 [142]	kut¹⁴	kuk⁵	kuoʔ⁴	kɔʔ⁴
84	骨	kut7	kut⁵		kut7	kut³²	kuk¹	kuoʔ²	kɔʔ²¹
85	滑	kut8	kut³	kut²⁴	kut8	kut¹⁴	kuk⁵	kuoʔ⁴	kɔʔ⁴
86	酸	sŋ1	sŋ̩³³	sŋ³³	soŋ1	suĩ⁵⁵	səŋ³³	ɬỹ⁵⁴	ɬø⁵³³
87	卵	nŋ6	nŋ̩¹¹	lan³³	loŋ6	luĩ³³	nəŋ³⁵	nỹ²¹	lø⁴⁵³
88	飯	pŋ6	pŋ̩³¹	pŋ³¹	pũi2	puĩ³³	puŋ¹¹	puĩ²¹	pue¹¹
89	脫	theʔ7	tʰeʔ⁵	tʰeʔ⁵⁵		tʰut³²	tʰuk⁵		tʰuaʔ²¹
90		tsŋ1			tsũ1				
91	月	geʔ8	gəʔ³	geʔ³⁴	gie6	guɛʔ¹⁴	gueʔ⁵	kuoi²⁴	kue¹¹
92	肝	kuã1	kuã³³	kuã³³	kuã1	kuã⁵⁵	kuã³³	kuã⁵⁴	kua⁵³³
93	傘	suã5	suã³¹	suã³¹	suã5	suã¹¹	suã²¹²	ɬuã³²	ɬua⁴⁵³
94	殺	suaʔ7		suaʔ⁵⁵			suaʔ¹	ɬaʔ²	ɬaʔ²¹
95		tsuaʔ8			tsuo7 [?]				
96	泉	tsuã2	tsuã²⁴	tsuã²⁴	tsuã2	tsuã²¹³	tsuã⁵⁵	ɬyã²⁴	ɬyɒ¹³
97	懶	tuã3			tuã6				
98	滿	muã3	muã⁵⁵	muã⁵⁵	muã3	buã⁵³	muã⁵²	muã³²	mua⁴⁵³
99	半	puã5	puã³¹	puã³¹	puã5	puã¹¹	puã²¹²	puã⁵²	pua⁴²
100	夢	baŋ6	baŋ³¹		baŋ5	baŋ³³	maŋ¹¹	maŋ⁵²	maŋ⁴²
101	目	bak8	bak³		bak8	bak¹⁴	mak⁵	paʔ⁴	maʔ⁴
102	龍	liŋ2	liŋ²⁴		loŋ2	liɔŋ²¹³	leŋ⁵⁵	lyøŋ²⁴	lœŋ¹³
103		tsiŋ3			tsoŋ3				
104	竹	tik7	tik⁵		tiok7	tiɔk³²	tek¹	tyøʔ²	tœʔ²¹
105	叔	tsik7	tsik⁵		tsok7		tsek¹	tsyøʔ²	tsœʔ²¹
106	肉		hik³		giok8 [ba?]		nek⁵	nyʔ⁴	nœʔ⁴
107	蜂	phaŋ1	pʰaŋ³³		p'aŋ1		pʰaŋ³³	pʰaŋ⁵⁴	pʰaŋ⁵³³
108	蔥	tsʰaŋ1	tsʰaŋ³³		ts'aŋ1	saŋ⁵⁵	tsʰaŋ³³	tsʰaŋ⁵⁴	tsʰaŋ⁵³³
109		taŋ2							
110	膿	laŋ2				laŋ²¹³		naŋ²⁴	naŋ¹³
111	重	taŋ6			taŋ6	taŋ³³	teŋ³⁵	taŋ²¹	taŋ¹¹
112	腹	pak7	pak⁵		pak7	pak³²	pak¹	paʔ²	paʔ²¹
113	角	kak7	kak⁵		kak7	kak³²	kak¹	kaʔ²	kaʔ²¹
114	六		lak³		lak8	lak¹⁴	lak⁵	laʔ⁴	laʔ⁴
115	腸	tŋ2	tŋ̩²⁴		tŋ2	tŋ²¹³	təŋ⁵⁵	tŋ²⁴	tuŋ¹³
116	兩	nŋ6	niũ⁵⁵		nŋ6	liũ⁵³	lo⁵²	lŋ³²	luŋ⁴⁵³
117	索	soʔ7	soʔ⁵		so7	soʔ³²	soʔ¹	ɬo²¹	ɬo²¹
118		toʔ8			to6				
119	落	loʔ8	loʔ³		lo6	loʔ¹¹	loʔ⁵	lo²⁴	lo¹³
120	羊	iũ2	iũ²⁴		giŋ2	iũ²¹³	iẽ⁵⁵	iũ²⁴	iau¹³
121	上	tsiũ6	tsiũ³¹		tsoŋ6	tsʰiũ³³	tsiẽ³⁵	ɬiũ²¹	ɬiau¹¹
122	石	tsioʔ8	tsioʔ³		tso6	tsioʔ¹⁴	tsieʔ⁵	ɬieu²⁴	ɬiau¹³
123		hioʔ8			liŋ6				
124	青	tshĩ1	tsʰĩ³³		tsh'ĩ1	sɛŋ⁵⁵	tsʰẽ³³	tsʰã⁵⁴	tsʰa⁵³³
125	平	pĩ2	pĩ²⁴		pĩ2	pɛŋ²¹³		pã²⁴	pa¹³
126	井	tsĩ3	tsĩ⁵⁵		tsĩ3	tsɛ̃⁵³	tsẽ⁵²	tsã³²	tsa⁴⁵³
127	白	peʔ8	peʔ⁵		pia8	pɛʔ¹⁴	peʔ⁵	pa⁴	pa¹³
128	名	miã2	miã²⁴		miã2	biã²¹³	miã⁵⁵	miã²⁴	mia¹³
129	鼎	tiã3	tiã⁵⁵		tiã3	tiã⁵³	tiã⁵²	tiã³²	tia⁴⁵³
130		tshiaʔ7			ts'a7				
131	橫	huãi2	huĩ²⁴		huĩ2	hɛŋ²¹³	huẽ⁵⁵	huã²⁴	hua¹³
132	圓	ĩ2	ĩ²⁴	ɪ̃²⁴			ĩ⁵⁵	iŋ²⁴	iŋ¹³
