id	zi	yongan	mingxi	sanyuan	shaxian	jiangle	taining	jianning	shaowu_xxt	shaowu	heping	gaotang
1	枝	ki1	ki³³		tsɿ³³	tʃi⁵⁵				ki1	ki1	ki1
2	鼻	phi5	pʰi²⁴	pʰi³³	pʰi²⁴	pʰi³²⁴	pʰei⁵¹	pʰi⁴⁵	pʰi²¹³	phi5	phi5	phi5
3		ti4								li3	(liʔ4)	ni9
4	眉	mi2	mi²¹	mi⁴¹	mi³¹	mi²²	muai³³	mi²¹³	mi³³	mi2	mi2	mi2
5	臍	tsi5	tsi²⁴	tsa⁴¹	tsʰai³¹	tsʰi²¹	tsei²¹	tsʰi²¹³		tshi2	tɕi5 [?]	tshi2
6	肥	puei2	pʰi²¹	pui⁴¹	pui³¹	pʰi²²	pʰui³³		pʰi³³	phi2	phi2	phy2
7	水	ʃyi3	sue³¹	ʃyi²¹	ʃye²¹	ʃy⁵¹	sui³⁵⁴	fi⁵⁵	sei⁵⁵	suei3	sui3	ʃy3
8	書	ʃy1	sy³³	ʃy⁵⁵³	ʃy³³	ʃy⁵⁵	sy²¹	tsʰə³⁴ / si³⁴	ɕy²¹	ʃy1	ɕy1	ʃy1
9	鋤	thy2 [L]		tʰy⁴¹	tʰy³¹		hy⁵¹	tʰə²¹³			hy2 [v.]	
10		pe2								phie2	phæ2	phai2
11		tse5										
12	雞	ke1	ke³³	kiɛ⁵⁵³	kie³³	ke⁵⁵	koi²¹	kie³⁴	kɛi²¹	kai1	kei1	ke1
13	飛	pue1	pø³³	puɛ⁵⁵³	pyi³³	pe⁵⁵	pʰø³⁵⁴		pʰei²¹	phei3	pheiʔ4	phø9
14	苧	tau4	tʰy³¹	tɑu³⁵³	tu⁵³	tʰy⁵¹	hy³⁵⁴	tʰə⁵⁵	tʰɯ⁵⁵		hyʔ4	thy9
15	浮	phaɯ2	pʰau²¹	pʰɒ⁴¹	pʰo³¹		pʰy³³		pʰiau³³	(phiau2)	pho2	(pho2)
16	牛	ŋu2	ŋy²¹	ŋiɑu⁴¹	iu³¹	ŋy²²	ny³³	ŋəu²¹³	ny³³	ŋy2	ŋy2	ŋy2
17	手	tʃau3	tsʰiu³¹	tʃʰiɑu²¹	tsʰio²¹	tʃʰiu⁵¹				ʃou3	ɕiu3	tʃhiu3
18	樹	tʃy5	tsʰy²⁴	tʃʰy³³	tsʰiu²⁴	tʃʰy³²⁴				tʃhy5	tɕhy5	tʃhy5
19		u1								u3	uʔ4	ku1
20	烏	u1	u³³	u⁵⁵³	u³³	u⁵⁵	u²¹	u³⁴	u²¹	u1 [(crow)]	u1	u1 ['crow']
21	五	ŋu3	ŋu³¹	ŋu²¹	go²¹	ɤŋ⁵¹	nu³⁵⁴	ŋu⁵⁵	ŋ⁵⁵	ŋ3	ŋu3	ŋu3
22	墓	[墳，冢]	mu⁵⁴	mu³³	mu²⁴		mu²¹³	mu⁴⁵	mio²¹³	mio5	mu5	muŋ6 [?]
23		ty2									thy2 [?]	thy2
24	雨	hu4	xy³¹	hu³⁵³	xu⁵³	fy⁵¹	xy³⁵⁴		xy⁵⁵	hy3	hy3	fy3
25		tʃhɯ5								tʃho5	tɕhio5	tʃho5
26	刀	taɯ1	tau³³	taɯ⁵⁵³	to³³	tau⁵⁵	to²¹	tau³⁴	tau²¹	tau1	to1	to1
27	毛	maɯ2	mau²¹		bɔ²¹²	mau²¹	mo²¹³	mau²¹³	mau³³	mau6	mo6	mo6
28		pɔ2									pha2	pha2
29	馬	mɔ3	mo³¹	mɒ²¹	ba²¹	ma⁵¹				ma3	maʔ4	ma9
30	斜	tsiɔ2	tsʰia²¹	tsiɒ⁴¹	tsia³¹	tsʰia²²	tʰia³³	tsʰia²¹³	tʰia³³	tshia2	thia2	tshia2
31	蔗	tʃɔ5	tsa²⁴	tʃiɒ³³	tsia²⁴	tʃa³²⁴				tʃa5	tɕia5	tʃia5
32	畫	uo4	fo⁵⁴	ho³³	xua⁵³	fa²³¹	xua²¹³	fa⁴⁵	fa³⁵	fa6	fa6	fa6
33	沙	suo1	so³³		sua³³	sæ⁵⁵	sai²¹	sa³⁴	sai²¹	sai1	sai1	sai1
34	我	ŋuo1	vue³¹	ŋɯ²¹	gua³³	ŋo⁵¹	no³⁵⁴	ŋa⁵⁵				ŋai9
35	大	tɔ5 [?]		to³³	tua²⁴	tæ²³¹	hai²¹³	hai⁴⁵		thai6	hai6	thai6
